code,system
C106100,readv2
C104100,readv2
C109K00,readv2
C10FK00,readv2
C102z00,readv2
C102000,readv2
C102100,readv2
C102.00,readv2
L180600,readv2
L180500,readv2
L180X00,readv2
C10FQ00,readv2
C10EP00,readv2
C108F11,readv2
C10FE00,readv2
C109E11,readv2
C109E12,readv2
C10EF00,readv2
C10EG00,readv2
C109F00,readv2
C108G00,readv2
C109F12,readv2
C10FF00,readv2
C109F11,readv2
C10EM11,readv2
C10EM00,readv2
C101100,readv2
C101000,readv2
C101z00,readv2
C101.00,readv2
C10FN00,readv2
C108200,readv2
C10yy00,readv2
C10z100,readv2
C10G000,readv2
C108011,readv2
C105y00,readv2
C104y00,readv2
C10F200,readv2
C108211,readv2
C10EA00,readv2
C109012,readv2
C100z00,readv2
C10F000,readv2
C109200,readv2
C108100,readv2
C100.00,readv2
C109111,readv2
C10F900,readv2
C10z000,readv2
C108300,readv2
C10F311,readv2
C109100,readv2
C108012,readv2
C10E312,readv2
C100100,readv2
C108000,readv2
C10F300,readv2
C10E000,readv2
C108212,readv2
C10F911,readv2
C109212,readv2
C10zz00,readv2
C10E100,readv2
C109112,readv2
C109211,readv2
C109900,readv2
C100000,readv2
C106y00,readv2
C10F100,readv2
C108y00,readv2
C109300,readv2
C108z00,readv2
C10E200,readv2
C10EA11,readv2
C10E300,readv2
Cyu2300,readv2
C108A00,readv2
C109000,readv2
C10z.00,readv2
C10F011,readv2
C109011,readv2
C10zy00,readv2
C10EB00,readv2
C109A11,readv2
C10FA00,readv2
C108B11,readv2
C106.12,readv2
C106.13,readv2
C109B11,readv2
C10FB00,readv2
C10FB11,readv2
C10EC00,readv2
C106000,readv2
C104000,readv2
C105000,readv2
C109D00,readv2
C108600,readv2
C108C00,readv2
C108.00,readv2
C108400,readv2
C109400,readv2
C10E812,readv2
C108800,readv2
C108.11,readv2
C109H00,readv2
C109.00,readv2
C109C00,readv2
C108700,readv2
C108H00,readv2
66A5.00,readv2
C108500,readv2
C10E412,readv2
C109500,readv2
C108900,readv2
C10E.12,readv2
C108D00,readv2
C109B00,readv2
C100112,readv2
C109A00,readv2
C109G00,readv2
C100011,readv2
C108F00,readv2
C109600,readv2
C108B00,readv2
C108E00,readv2
C108J00,readv2
250 AK,readv2
C109G11,readv2
C10EH00,readv2
C10FG00,readv2
C109G12,readv2
C108H11,readv2
C10FJ00,readv2
C109J00,readv2
C109J11,readv2
C109J12,readv2
C10FJ11,readv2
C10F600,readv2
C108712,readv2
C10F611,readv2
C109612,readv2
C109611,readv2
C10E700,readv2
C108711,readv2
C107.12,readv2
C107.11,readv2
C107200,readv2
C10F500,readv2
C109511,readv2
C10E600,readv2
C10F511,readv2
C10E.11,readv2
C109.12,readv2
C10F.00,readv2
C108.13,readv2
C10F.11,readv2
C109.13,readv2
C108.12,readv2
C10..00,readv2
C10E.00,readv2
Cyu2.00,readv2
C108911,readv2
C100111,readv2
C10E900,readv2
250 AM,readv2
250 AL,readv2
C10FL00,readv2
C10EK00,readv2
C10FL11,readv2
C109712,readv2
C10F700,readv2
66AI.00,readv2
C109711,readv2
66AJz00,readv2
C108812,readv2
C10E800,readv2
66AJ.00,readv2
C108811,readv2
C10F711,readv2
C108411,readv2
66AJ.11,readv2
C10E400,readv2
C10E411,readv2
250 NT,readv2
C107300,readv2
C107400,readv2
C109.11,readv2
250 AA,readv2
C10F400,readv2
C109412,readv2
C10E500,readv2
C108511,readv2
C109411,readv2
66AL.00,readv2
66AK.00,readv2
C109E00,readv2
C109700,readv2
250 AD,readv2
C107.00,readv2
C107100,readv2
C107000,readv2
C107z00,readv2
C106.00,readv2
C106z00,readv2
C10EN11,readv2
C103000,readv2
C10EN00,readv2
C103z00,readv2
C103.00,readv2
C10FP00,readv2
C103100,readv2
66A4.00,readv2
66AV.00,readv2
C10G.00,readv2
C104.00,readv2
C10y100,readv2
C101y00,readv2
C10y.00,readv2
C10yz00,readv2
Cyu2000,readv2
C103y00,readv2
C10FR00,readv2
C10EQ00,readv2
C10FH00,readv2
C108J12,readv2
C109H11,readv2
C109H12,readv2
C10EJ00,readv2
C105.00,readv2
C105100,readv2
C105z00,readv2
C108E12,readv2
C10FD00,readv2
C109D11,readv2
C108E11,readv2
C109D12,readv2
C10EE00,readv2
C10FC00,readv2
C10FC11,readv2
C109C12,readv2
C10ED00,readv2
C104z00,readv2
C108D11,readv2
C109C11,readv2
66AJ100,readv2
66A3.00,readv2
250 AN,readv2
250 A,readv2
250 PG,readv2
C10D.00,readv2
C10C.00,readv2
C10C.11,readv2
C10D.11,readv2
C10FM00,readv2
C10EL00,readv2